Student_ID,Age,Gender,Education_Level,Daily_Social_Media_Hours,Daily_AI_Tool_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Physical_Health_Score
STU_01639,19,Male,College,8.3,0,5.88,1.82,69.17,99.68
STU_01640,13,Female,High School,5.97,3.64,8.74,1.45,71.17,98.83
STU_01641,24,Female,University,8.47,5.3,6.44,0,76.78,81.84
STU_01642,20,Female,College,3.56,2.98,6.38,0.6,55.35,88.73
STU_01643,15,Male,High School,7.2,1.3,8.57,0.53,77.34,96.95
STU_01644,20,Male,College,1.92,1.76,7.04,0,81.51,81.72
STU_01645,17,Male,High School,6.58,4.71,4.99,0.46,62.7,83.39
STU_01646,13,Non-binary,High School,2.71,1.54,6.2,0,69.59,84.34
STU_01647,19,Male,College,5.64,0.79,6.67,1.38,78.43,81.42
STU_01648,17,Male,High School,5.77,1.32,5.67,0.47,70.99,77.22
STU_01649,18,Non-binary,College,6.22,2.6,5.87,0,66.52,97.17
STU_01650,18,Female,College,1.98,2.1,6.27,0,69.51,82.12
STU_01651,20,Female,College,5.29,0,7.39,0.99,68.19,89.96
STU_01652,21,Male,College,4.56,1.73,9.02,0.96,80.14,86.94
STU_01653,14,Female,High School,7.64,5.91,5.61,0.82,56.04,99.71
STU_01654,21,Male,College,2.9,2.84,5.71,0,72.85,73.34
STU_01655,24,Female,University,1.23,3.6,6.87,0,80.43,71.92
STU_01656,23,Male,University,0.39,0,6.27,1.79,63.72,98.61
STU_01657,22,Male,University,3.79,3.7,10.32,2.01,84.41,95.32
STU_01658,21,Female,College,3.43,5.21,7.77,3.63,74.15,87.19
STU_01659,25,Female,University,3.75,3.07,8.49,2.36,69.7,98.04
STU_01660,22,Female,University,3.76,0.33,7.91,2.94,74.14,98.46
STU_01661,22,Male,University,7.99,3.65,4.51,0,60.25,72.88
STU_01662,19,Male,College,4.13,3.96,6.98,1.6,70.84,89.69
STU_01663,13,Female,High School,7.33,1.24,6.78,0.54,46.61,80.26
STU_01664,19,Female,College,5.46,4.42,7.55,2.08,64.68,99.89
STU_01665,22,Non-binary,University,2.22,3.31,7.27,0.64,87.78,89.59
STU_01666,17,Female,High School,4.52,0,5.83,3.33,68.08,99.69
STU_01667,18,Female,College,8.36,1.44,8.57,0.6,77.37,87.12
STU_01668,22,Female,University,7.04,1.89,7.28,1.96,59.63,91.12
STU_01669,19,Male,College,7.51,2.4,5.75,0,65.71,68.46
STU_01670,17,Male,High School,5.76,2.49,6.39,1.34,61.66,93.54
STU_01671,19,Male,College,3.31,3.92,7.22,0,61.09,87.53
STU_01672,21,Male,College,8.6,3.98,5.42,1.12,67.94,97.21
STU_01673,15,Female,High School,5.9,5.41,6.23,0.38,79.88,80.6
STU_01674,20,Female,College,6.83,3.11,6.57,2.4,55.13,82.98
STU_01675,14,Female,High School,4.77,5.16,6.06,3.38,82.23,99.51
STU_01676,23,Male,University,1.92,4.18,7.67,0.13,67.28,97.76
STU_01677,19,Male,College,5.49,4.71,5.84,0.76,65.44,97.87
STU_01678,25,Male,University,8.73,5.37,4.92,0.12,54.45,75.95
STU_01679,14,Female,High School,6.52,1.89,7.53,1.07,76.53,98.82
STU_01680,16,Male,High School,5.88,2.35,7.15,0,55.85,68.28
STU_01681,19,Female,College,2.35,0,7.12,0,77.74,92.36
STU_01682,15,Male,High School,8.31,4.49,5.03,1.69,70.03,81.25
STU_01683,14,Male,High School,7.87,4.34,6.92,0,71.86,87.94
STU_01684,23,Female,University,0.04,2.76,7.16,0.66,74.67,84.51
STU_01685,22,Female,University,6.82,3.93,5.81,0,45.42,91.43
STU_01686,19,Male,College,3.88,4.42,5.79,0.01,68.11,92.84
STU_01687,13,Female,High School,5.23,2.53,5.04,0,64.9,81.07
STU_01688,20,Non-binary,College,2.46,3.27,8.02,0.27,62.78,81.42
STU_01689,15,Non-binary,High School,4.8,2.47,5.49,0.53,75.94,71.97
STU_01690,24,Female,University,1.75,2.32,5.36,2.22,81.01,99.5
STU_01691,24,Female,University,2.49,1.28,6.89,1.9,81.48,87.39
STU_01692,25,Male,University,5.79,0,6.98,0,68.56,99.6
STU_01693,14,Female,High School,2.61,0.19,8.91,2.72,82.59,98.29
STU_01694,15,Male,High School,5.57,2.37,6.8,0.87,72.29,80.97
STU_01695,17,Non-binary,High School,4.77,0.48,4.31,2.39,85.22,91.05
STU_01696,23,Male,University,10.45,0.8,4.68,0,64.86,74.08
STU_01697,20,Male,College,2.88,1.03,8.79,3.98,83.81,93.35
STU_01698,22,Female,University,3.66,1.99,6.72,0.7,72.55,73.67
STU_01699,19,Male,College,2.71,4.54,5.36,0.47,76.18,84.32
STU_01700,19,Male,College,8.07,0,4.68,1,49.87,81.9
STU_01701,24,Female,University,4.77,2.59,7.24,2.56,76.7,99.39
STU_01702,19,Female,College,4.1,0.84,5.7,1.56,75.81,82.29
STU_01703,20,Female,College,6.43,2.42,6.18,0.11,59.29,79.59
STU_01704,13,Male,High School,2.32,1.38,6.55,0,76.17,92.79
STU_01705,16,Female,High School,1.14,2.17,9.23,0.68,80.01,87.7
STU_01706,25,Male,University,5.21,0,5.42,0.34,82.86,99.62
STU_01707,18,Male,College,4.91,3.24,8.11,2.39,85.16,95.46
STU_01708,21,Female,College,2.66,2.61,9.53,0.31,70.48,87.93
STU_01709,25,Female,University,5.39,2.78,5.15,3.4,81.12,98.68
STU_01710,14,Female,High School,9.12,4.24,3.99,0.54,69.04,73.49
STU_01711,13,Female,High School,5.62,0,7.03,1.19,70.47,96.75
STU_01712,25,Male,University,0,0.54,7.53,1.76,82.97,87.39
STU_01713,22,Female,University,8.04,5.49,7.37,1.09,70.31,87.21
STU_01714,24,Male,University,9.47,3.48,4.3,0,57.84,76.29
STU_01715,14,Female,High School,5.82,0,6.9,0.69,78.02,95.27
STU_01716,19,Female,College,4.93,2.18,7.08,0.93,77.04,95.85
STU_01717,15,Female,High School,0.63,4.42,7.1,2.92,77.1,92.79
STU_01718,22,Female,University,2.34,6.25,6.04,2.82,78.69,98.39
STU_01719,14,Female,High School,3.73,5.3,6.35,1,81.49,92.02
STU_01720,23,Female,University,2.66,1.68,10.65,1.5,76.3,99.22
STU_01721,19,Male,College,3.23,2.27,4.75,1.5,76.23,71.88
STU_01722,25,Male,University,4.81,0,9.52,1.46,74.67,99.84
STU_01723,25,Female,University,2.79,2.69,6.22,2.56,64.47,90.35
STU_01724,14,Female,High School,8.3,2.87,4.6,0.59,81.54,81.14
STU_01725,15,Male,High School,4.69,4.13,5.09,0.91,65.39,90.14
STU_01726,23,Male,University,5.76,0,6.47,1.15,76.71,86.68
STU_01727,19,Male,College,5.77,0.84,6.71,1.61,72.62,98.73
STU_01728,16,Female,High School,5.46,2.09,6.57,0.16,75.39,83.31
STU_01729,25,Male,University,4.62,4.08,5.93,1.04,84.28,81.74
STU_01730,13,Male,High School,7,1.78,8.21,0.3,57.52,88.01
STU_01731,25,Female,University,7.52,6.74,4.33,1.22,72.74,87.1
STU_01732,17,Female,High School,0,0.56,7.01,0.79,81.76,99.16
STU_01733,24,Male,University,0.91,1.61,7.17,2.43,83.21,98.81
STU_01734,21,Male,College,3.14,0.54,6.92,0,65.64,94.72
STU_01735,20,Female,College,1.71,2.13,5.7,0.91,78.59,96.25
STU_01736,24,Male,University,2.66,3.35,6.88,0,81.66,84.12
STU_01737,21,Non-binary,College,3.37,2.83,7.18,1.01,82.59,85.34
STU_01738,22,Female,University,3.86,0.95,7.32,2.01,77.37,87.8
STU_01739,21,Male,College,0.77,4.7,7.44,1.09,69.98,87.8
STU_01740,19,Female,College,3.46,4.99,5.59,0.19,63.46,90.22
STU_01741,16,Male,High School,8.06,1.24,4.83,0,61.85,73.8
STU_01742,17,Male,High School,3.87,8.06,5.03,0,82.79,79.65
STU_01743,13,Female,High School,5.98,0.51,5.59,0.21,69.14,67.07
STU_01744,13,Female,High School,4.33,2.57,3.78,1.61,69.51,99.74
STU_01745,15,Male,High School,4.79,2.57,6.27,0,76.52,84.39
STU_01746,25,Male,University,4.21,0.48,6.66,0.85,76.68,73.05
STU_01747,20,Male,College,6.36,2.86,5.03,0,58.21,65.25
STU_01748,14,Male,High School,2.45,2.28,7.5,1.05,83.01,94.65
STU_01749,16,Female,High School,4.93,3.26,6.15,1.48,80.59,91.98
STU_01750,14,Male,High School,3.06,2.5,7.36,0,64.39,84.45
STU_01751,17,Non-binary,High School,6.18,3.94,5.52,0,60.19,98.69
STU_01752,21,Male,College,1.73,3.59,6.23,0.77,83.98,84.95
STU_01753,13,Female,High School,6.13,0.72,7.48,2.32,68.49,99.14
STU_01754,17,Female,High School,5.02,1.96,4.73,1.56,79.29,80.71
STU_01755,21,Female,College,1.34,1.03,7.18,1.87,82.71,88.54
STU_01756,13,Male,High School,8.87,5.5,6.12,1.25,56.12,77.32
STU_01757,21,Male,College,5.89,4.22,7.53,1.57,82.93,78.74
STU_01758,20,Male,College,1.79,3.09,7.31,0,77.35,64.94
STU_01759,16,Non-binary,High School,4.89,3.46,5.2,0,71.93,84.38
STU_01760,24,Female,University,0.4,2.29,6.58,0,76.62,84.85
STU_01761,23,Female,University,0.21,2.78,4.99,0.71,47.13,97.13
STU_01762,22,Female,University,7.49,1.15,5.46,1.36,78.09,81.4
STU_01763,17,Male,High School,1.5,1.31,8.43,1.4,78.4,77.48
STU_01764,25,Female,University,6.47,3.61,7.75,0,58.4,75.15
STU_01765,17,Non-binary,High School,7.42,0.56,6,1.1,80.33,80.86
STU_01766,23,Male,University,2.04,1.23,9.24,0,79.4,96.71
STU_01767,24,Male,University,9.7,2.09,5.07,1.12,82.22,80.34
STU_01768,18,Female,College,4.73,0,7.02,0.36,79.51,84.94
STU_01769,19,Male,College,4.62,4.3,3.87,3.58,74.06,95.62
STU_01770,20,Male,College,2,3.68,6.73,0.12,64.5,83.78
STU_01771,20,Female,College,2.05,3.27,6.94,0,80.64,75.15
STU_01772,23,Female,University,0,1.8,6.54,2.94,79.21,99.68
STU_01773,25,Male,University,2.56,4.61,8.02,0,75.07,82.76
STU_01774,14,Male,High School,7.42,3.24,3.95,0.8,58.48,70.4
STU_01775,21,Female,College,1.95,4.28,4.63,1.19,68.7,80.92
STU_01776,19,Female,College,2.17,4.38,6.86,2.12,63.72,89.66
STU_01777,16,Male,High School,1.28,1.64,4.48,0.46,64.68,86.67
STU_01778,16,Female,High School,1.1,0.91,8.12,1.06,76.46,82.9
STU_01779,23,Female,University,6.72,0.69,6.18,1.65,66.71,88.72
STU_01780,20,Female,College,1.46,2.61,7.85,0,83.39,98.84
STU_01781,16,Male,High School,4.17,0,6.97,1.82,82.05,76.22
STU_01782,25,Male,University,3.61,0.57,7.28,1.97,83.34,98.78
STU_01783,18,Female,College,6.89,1.25,6.23,1.49,72.47,96.02
STU_01784,17,Male,High School,2.41,1.38,8.44,1.54,84.99,93.07
STU_01785,15,Female,High School,3.42,3.57,7.91,0.28,79.28,68.6
STU_01786,25,Male,University,1.77,0,7.69,0.44,77.65,94.24
STU_01787,22,Male,University,2.9,0,7.42,1.34,86.49,93.72
STU_01788,23,Male,University,2.25,0,8.01,1.15,57.58,99.1
STU_01789,14,Male,High School,4.14,3.45,6.36,0.4,60.82,84
STU_01790,21,Female,College,8.5,1.45,6.5,1.78,77.4,84.97
STU_01791,22,Male,University,3.99,1.39,5.94,1.99,74.53,93.2
STU_01792,21,Female,College,7.44,5.64,4.25,2.03,74.9,92.08
STU_01793,13,Female,High School,6.86,3.29,6.01,3.65,73.11,93.38
STU_01794,22,Male,University,4.39,1.19,7.93,3.22,73.41,99.44
STU_01795,15,Female,High School,6.9,0,7.29,0.34,76.41,89.43
STU_01796,20,Male,College,5.08,5.89,4.85,0.84,76.02,89
STU_01797,18,Female,College,0.93,2.93,6.23,0.37,80.13,96.16
STU_01798,17,Female,High School,4.4,1.72,6.2,2.67,75.63,82.81
STU_01799,17,Male,High School,5.01,2.85,4.77,0.67,53.03,71.74
STU_01800,18,Male,College,8.91,1.75,5.09,0.49,59.12,62.14
STU_01801,19,Female,College,2.17,3.42,5.32,1.31,75.54,95.18
STU_01802,13,Female,High School,5.64,0,6.23,0.94,63.34,99.86
STU_01803,21,Male,College,1.42,1.78,6.52,0,85.58,91.61
STU_01804,15,Female,High School,8.36,0.6,7.18,2.63,54.78,87.54
STU_01805,16,Male,High School,7.56,2.36,6.46,3.1,85.74,97.72
STU_01806,22,Female,University,1.5,0.78,8.48,0.64,63.71,91.17
STU_01807,13,Male,High School,8.85,1.42,3.47,2.48,58.75,89.09
STU_01808,25,Female,University,7.19,1.51,4.97,0.36,68.43,77.48
STU_01809,23,Male,University,7.66,2.96,6.47,2.55,62.29,97.82
STU_01810,22,Female,University,8.42,1.81,6.38,2.2,75.81,84.19
STU_01811,15,Female,High School,7.32,0.67,5.94,0,70.21,64.8
STU_01812,14,Female,High School,3.66,3.24,7.78,1.55,78.48,97.85
STU_01813,14,Female,High School,8.26,6.25,5.58,1.85,48.62,96.49
STU_01814,13,Female,High School,2.27,1.86,9.71,3.34,79.06,98.18
STU_01815,20,Female,College,2.56,4.84,6.75,3.56,58.85,99.76
STU_01816,15,Female,High School,3.36,0,6.24,2.94,82.87,93.11
STU_01817,15,Female,High School,5.33,1.13,8.47,1.03,75.85,98.38
STU_01818,18,Female,College,2.21,4.83,6.71,1.64,85.13,95.76
STU_01819,25,Female,University,1.51,2.89,7.72,1.42,79.78,94.17
STU_01820,20,Male,College,2.21,1.21,5.9,0.15,58.4,80.87
STU_01821,25,Female,University,3.59,4,6.99,1.64,75.26,98.32
STU_01822,21,Male,College,4.68,0.64,6.67,0.64,71.74,74.76
STU_01823,21,Female,College,2.6,2.62,7.66,0.77,72.79,73.84
STU_01824,16,Female,High School,1.47,4.19,6.44,0.01,63.45,99.43
STU_01825,17,Non-binary,High School,5.47,3.16,4.37,0.76,78.17,86.58
STU_01826,14,Male,High School,8.88,6.92,6.21,0,35.22,92.08
STU_01827,23,Male,University,3.46,1.48,6.82,3.25,74.94,96.31
STU_01828,21,Female,College,6.73,3.75,5.32,0.83,76.09,86.41
STU_01829,20,Male,College,4.51,4.08,6.58,1.94,80.55,99.76
STU_01830,15,Male,High School,6.09,2.11,6.57,0,62.43,99.02
STU_01831,23,Female,University,6.54,0.82,6.96,0.85,76.15,97.83
STU_01832,24,Female,University,4.51,4.59,6.85,0,70.61,80.18
STU_01833,25,Male,University,2.04,1.59,8.71,2.99,83.38,99.9
STU_01834,21,Female,College,1.42,3.66,6.54,1.32,76.81,99.68
STU_01835,15,Male,High School,7.38,3.27,7.28,1.64,73,85.98
STU_01836,21,Female,College,6.08,2.73,5.85,0.28,74.19,81.66
STU_01837,14,Male,High School,6.95,4.93,4.12,1.51,62.56,83.22
STU_01838,24,Female,University,6.19,3.11,7.8,3.12,67.28,99.04
STU_01839,22,Male,University,7.18,3.63,5.05,1.39,61.66,99.19
STU_01840,21,Female,College,5.05,3.23,7.39,0.75,70.19,89.69
STU_01841,20,Male,College,0.7,2.64,7.23,0.98,81.7,87.38
STU_01842,21,Female,College,5.2,1.81,6.81,0,60.58,77.59
STU_01843,17,Male,High School,8.98,2.46,7.25,0.78,45.67,76.6
STU_01844,23,Male,University,5.38,3.61,3.71,1.23,68.57,94.35
STU_01845,23,Female,University,1.43,3.35,7.93,2.23,80.07,96.46
STU_01846,14,Female,High School,6.34,3.57,6.97,1.76,65.99,97.8
STU_01847,20,Male,College,9.28,8.7,3.74,0.27,54.12,60
STU_01848,24,Male,University,3.1,1.6,6.89,2.2,70.46,85.95
STU_01849,18,Male,College,5.32,0,7.75,2.83,80.75,94.63
STU_01850,20,Male,College,5.69,1.76,5.19,3.05,63.5,97.95
STU_01851,23,Male,University,5.01,1.86,6.33,0.51,73.87,81.52
STU_01852,17,Male,High School,6.49,3.29,7.51,1.07,63.93,98.21
STU_01853,22,Female,University,3.49,2.05,5.08,2.18,70.81,91.31
STU_01854,14,Female,High School,6.07,3.82,6.53,0,73.12,72.24
STU_01855,18,Male,College,7.42,1.12,6.61,1.02,80.74,77.83
STU_01856,17,Non-binary,High School,3.91,3.54,6.81,0.7,68.54,78.35
STU_01857,24,Female,University,6.51,0,5.03,1.84,75.79,91.88
STU_01858,25,Male,University,3.55,2.49,6.65,0.72,55.79,91.78
STU_01859,24,Male,University,1.06,1.04,7.25,1.23,79.41,99.65
STU_01860,17,Female,High School,1.05,1.85,6.95,0.53,85.83,92.47
STU_01861,25,Male,University,5.65,0,7.61,0,64.94,73.23
STU_01862,13,Male,High School,0,4.04,7.09,0.73,72.3,97.37
STU_01863,14,Female,High School,4.73,1.81,6.87,2.53,64.08,76.28
STU_01864,20,Female,College,2.52,2.3,5.23,0,78.8,68.16
STU_01865,25,Male,University,0,3.25,6.09,1.8,81.44,99.43
STU_01866,25,Female,University,6.21,1.18,5.65,1.12,79.98,87.69
STU_01867,15,Female,High School,0.99,1.61,6.49,0.64,81.26,93.94
STU_01868,22,Female,University,10.27,0,5.98,1.75,76.29,78.88
STU_01869,15,Female,High School,8.59,1.92,4.96,0.5,57.65,61.65
STU_01870,20,Male,College,4.33,5.28,4.84,0.91,68.6,82.07
STU_01871,20,Female,College,0,2.99,7.33,3.22,83.19,96.88
STU_01872,14,Male,High School,5.24,0,6.64,0,54.83,96.93
STU_01873,20,Male,College,9.09,3.26,6.17,0,65.81,71.7
STU_01874,23,Male,University,6.75,4.54,8.04,2.67,69.89,96.63
STU_01875,25,Male,University,7.31,0.68,4.81,2.29,64.86,76.14
STU_01876,25,Male,University,8.36,2.11,6.07,2.05,63.77,97.67
STU_01877,13,Male,High School,1.37,2.17,7.02,4.83,87.33,97.51
STU_01878,18,Male,College,7.22,2.72,6.27,1.92,63.02,92.69
STU_01879,20,Female,College,9.35,2.71,8.36,1.04,71.6,81.86
STU_01880,15,Male,High School,2.95,3.64,3.57,0,71.29,65.86
STU_01881,20,Female,College,3.49,2.27,6.28,1.37,65.41,93.85
STU_01882,24,Male,University,8.38,4.72,5.76,0,56.5,69.3
STU_01883,13,Male,High School,7.99,0,6.92,0.67,64.25,96.34
STU_01884,23,Male,University,2.32,0.43,7.94,0,77.14,84.83
STU_01885,23,Male,University,1.26,5.18,4.71,0,66.2,71.41
STU_01886,21,Female,College,4.21,1.64,6.48,0.77,79.45,75.97
STU_01887,25,Male,University,0.82,3.5,5.88,1.74,58.16,85.98
STU_01888,23,Non-binary,University,2.35,2.26,7.35,0.43,75.69,99.76
STU_01889,25,Non-binary,University,2.79,4.2,6.84,1.13,68.57,95.92
STU_01890,21,Male,College,7.31,3.24,5.37,0.02,77.9,97.81
STU_01891,17,Female,High School,7.66,6.95,7.39,0,77.1,89.07
STU_01892,22,Male,University,7.32,2.46,5.8,1.78,55.46,77.85
STU_01893,16,Female,High School,2.44,1.75,6.56,0.19,85.62,98.28
STU_01894,23,Female,University,4.29,4.8,5.29,0,60.61,63.83
STU_01895,18,Male,College,3.37,3.72,3.03,3.96,66.75,98.14
STU_01896,24,Male,University,5.03,1.04,6.71,1.49,62.2,91.13
STU_01897,19,Male,College,6.38,4.07,5.07,1.26,72.14,89.59
STU_01898,17,Male,High School,3.31,2.86,6.94,0.53,69.96,82.57
STU_01899,23,Female,University,1.96,2.66,10.5,2.25,86.24,97.5
STU_01900,25,Male,University,8.43,3.29,6.15,0.82,60.74,92.88
STU_01901,22,Male,University,7.18,3.96,6.25,0,66.38,74.11
STU_01902,21,Male,College,5.35,2.84,7.6,3.1,85.79,99.93
STU_01903,15,Female,High School,1.84,2.03,8.63,0,83.83,80.87
STU_01904,19,Male,College,6.67,6.26,6.12,1.63,62.99,96.77
STU_01905,22,Female,University,4.08,2.43,6.87,0,65.96,88.68
STU_01906,22,Female,University,0,4.91,6.35,2.16,84.07,95.92
STU_01907,23,Female,University,3.18,1.49,7.54,3.11,82.78,99.36
STU_01908,17,Female,High School,5.65,0.98,7.27,0,63.28,98.57
STU_01909,19,Male,College,3.96,4.25,6.53,2.91,86.08,87.52
STU_01910,14,Male,High School,5.77,2.04,4.99,0.57,67.88,73.14
STU_01911,16,Female,High School,5.67,0,6.88,1.16,69.15,91.76
STU_01912,14,Female,High School,1.77,2.13,7.95,0,78.49,97.6
STU_01913,25,Female,University,6.21,3.41,5.08,1.71,70.78,72.66
STU_01914,25,Male,University,6.44,1.25,6.72,0,58.99,63.98
STU_01915,24,Male,University,4.42,1.03,7.64,0.73,79.09,56.06
STU_01916,19,Non-binary,College,4.54,2.85,6.92,2.27,75.04,95.79
STU_01917,14,Male,High School,4.53,0.45,8.95,0.61,59.3,93.5
STU_01918,25,Male,University,8.28,3.05,5.11,0,56.91,70.03
STU_01919,23,Male,University,5.46,4.36,5,2.71,82.01,96.63
STU_01920,13,Non-binary,High School,4.81,4.84,5.19,0.69,78.64,91.6
STU_01921,21,Male,College,5.68,1.33,5.83,0.64,71.71,88.93
STU_01922,13,Male,High School,5.62,5.7,5.25,1.85,65.88,67.8
STU_01923,20,Female,College,4.25,3.56,7.48,2.08,83.34,91.03
STU_01924,14,Male,High School,1.16,1.29,4.91,3.89,84.49,99.69
STU_01925,24,Female,University,4.77,1.74,5.75,0.48,72.76,86.84
STU_01926,20,Female,College,5.98,1.24,7.62,0,66.09,78.41
STU_01927,25,Male,University,5.23,0,6.49,1.44,72.3,98.74
STU_01928,15,Female,High School,3.25,5.06,5.01,2.04,69.17,80.5
STU_01929,18,Female,College,4.01,2.89,6.02,1.19,79.72,91.71
STU_01930,15,Male,High School,6.98,3.67,7.64,1.03,67.61,89.49
STU_01931,19,Male,College,0.29,2.68,6.96,1.78,84.2,86.04
STU_01932,22,Female,University,2.64,0,7.47,1.05,86.53,87.12
STU_01933,21,Male,College,4.83,3.12,6.22,0.3,85.4,88.78
STU_01934,14,Female,High School,7.1,4.22,7.94,0,73.43,75.35
STU_01935,24,Female,University,9.04,4.21,5.34,0,75.41,86.87
STU_01936,24,Male,University,6.72,4.47,5.36,1.4,68.99,84.08
STU_01937,17,Female,High School,3.02,2.59,7.65,0,70.78,85.82
STU_01938,25,Male,University,0.1,0,8.19,2.53,83.54,98.48
STU_01939,18,Female,College,9.17,3.72,5.55,2.22,62.23,80.58
STU_01940,16,Male,High School,2.4,2.63,7.11,1.92,80.17,98.24
STU_01941,16,Female,High School,4.86,6.09,6.99,0,58.43,87.21
STU_01942,16,Female,High School,4.21,5.91,5.6,0,63.05,98.95
STU_01943,14,Female,High School,4.33,4.48,7.36,0,72.81,82.82
STU_01944,16,Female,High School,1.58,0.02,7.37,0,70.1,80.54
STU_01945,23,Female,University,8.99,0.5,6.45,0.36,67.73,76.92
STU_01946,13,Male,High School,2.31,3.44,6.12,3.02,83.15,97.1
STU_01947,24,Female,University,4.9,0.4,6.71,2.3,71.72,88.04
STU_01948,18,Female,College,3.39,4.09,5.54,2.29,86.86,88.19
STU_01949,13,Female,High School,6.03,4.17,5.53,0,61.4,69.21
STU_01950,22,Female,University,3.98,5.31,7.73,3.29,71.76,98.02
STU_01951,18,Male,College,3.72,4.47,5.22,3.03,72.75,95.89
STU_01952,13,Male,High School,7.22,1.8,5.53,0,70.21,77.83
STU_01953,18,Male,College,3.69,2.38,5.7,0,64.81,92.66
STU_01954,22,Female,University,8.03,0.98,6.66,1.01,56.43,90.48
STU_01955,20,Male,College,1.42,2.98,8.68,3.89,82.47,98.26
STU_01956,23,Female,University,3.88,0,6.63,1.71,59.77,98.6
STU_01957,14,Male,High School,2.35,1.97,4.56,0.92,81.92,81.83
STU_01958,14,Male,High School,4.58,3.76,7.28,1.17,80.1,89.14
STU_01959,25,Male,University,1.07,3.61,6.85,2.37,73.14,98.46
STU_01960,24,Male,University,6.05,4.06,6.73,0.07,54.52,87.92
STU_01961,16,Female,High School,6.3,0.59,7.32,1.63,71.38,97.68
STU_01962,23,Male,University,8.27,0.19,5.51,2.52,75.81,94.77
STU_01963,15,Male,High School,6.62,3.57,4.8,0,61.65,89.64
STU_01964,16,Male,High School,6.59,0.78,5.02,1.45,77.83,89.51
STU_01965,25,Female,University,6.2,0.39,8.74,2.48,73.06,95.49
STU_01966,24,Female,University,3.95,2.89,5.99,0,81.41,83.48
STU_01967,19,Male,College,8.55,2.45,5.43,0.56,74.05,81.23
STU_01968,25,Female,University,5.89,6.8,6.62,0,73.97,66.47
STU_01969,23,Male,University,10.68,3.17,5.5,0,56.74,78.31
STU_01970,13,Male,High School,8.88,2.81,3.16,2.67,61.95,76.39
STU_01971,18,Female,College,5.37,1.5,5.26,2.2,75.62,90.33
STU_01972,15,Male,High School,5.49,3.99,6.51,2.56,84.37,90.32
STU_01973,23,Female,University,6.58,2.45,5.12,2.2,84.6,81.62
STU_01974,22,Male,University,8.46,1.57,7.96,1.15,73.5,93.37
STU_01975,19,Female,College,0.66,2.12,5.67,2.14,67.72,97.6
STU_01976,22,Male,University,7.78,1.9,4.8,2.34,73.26,96.49
STU_01977,14,Female,High School,5.43,2.36,5.19,0.93,63.35,91.8
STU_01978,14,Female,High School,7.2,6.56,6.37,1.85,75.95,95.03
STU_01979,25,Male,University,2.7,3.66,5.26,3.84,71,99.08
STU_01980,16,Female,High School,2.59,2.17,8.76,2.32,75.42,97.31
STU_01981,13,Male,High School,5.35,2.4,7.97,0.73,81.53,99.54
STU_01982,15,Female,High School,6.94,0,7.55,0.63,77.36,85.66
STU_01983,25,Male,University,1.42,0,5.29,0.6,80.75,87.55
STU_01984,21,Male,College,3.5,3.84,6.9,0,78.99,99.38
STU_01985,19,Female,College,1.51,3.81,4.29,0,78.91,66.47
STU_01986,19,Male,College,5.55,3.23,8.05,0,70.28,92.46
STU_01987,25,Female,University,9.48,5.18,5.93,0.26,73.42,72.7
STU_01988,25,Male,University,3.66,2.89,7.26,1.59,77.51,98.09
STU_01989,23,Male,University,6.46,3.97,5.61,1.6,53.73,79.43
STU_01990,16,Female,High School,4.8,2.37,6.68,0.93,80.27,79.87
STU_01991,14,Female,High School,5.42,0,6.72,0.6,73.09,93.77
STU_01992,16,Male,High School,3.01,4.6,6.84,3.02,66.1,89.36
STU_01993,18,Male,College,6.14,0.75,7.2,0,73.16,96.22
STU_01994,23,Male,University,4,2.97,4.78,4.16,80.59,98.49
STU_01995,23,Male,University,8.98,1.23,6.22,0,71.76,71.27
STU_01996,15,Male,High School,3.22,2.98,8.31,0.87,87.78,98.66
STU_01997,13,Male,High School,6.95,5.51,5.38,0.32,50.54,90.5
STU_01998,24,Female,University,9.43,3.58,7.42,0,63.58,85.18
STU_01999,20,Female,College,7.47,3.97,4.1,0,55.9,73.28
STU_02000,24,Male,University,2.24,2.18,9.12,0.46,80.02,95.49
STU_02001,25,Male,University,2.01,1.99,5.48,3.56,64.05,87.57
STU_02002,17,Male,High School,5.63,1.96,6.59,2.8,77.09,95.92
STU_02003,17,Female,High School,4.65,3.88,6.76,1.29,74.79,99.83
STU_02004,23,Female,University,5.79,2.55,6.45,0.56,84,79.48
STU_02005,16,Female,High School,7.49,3.74,5.1,3.81,42.07,99.9
STU_02006,18,Female,College,4.72,2.18,7.9,0,61.45,85.53
STU_02007,15,Female,High School,2.93,4.33,5.59,0.79,73.56,94.52
STU_02008,21,Male,College,5.02,3.75,9.49,0,69.69,99.57
STU_02009,17,Male,High School,8.3,2.7,4.79,2.88,72,82.28
STU_02010,15,Female,High School,4.59,3.73,7.68,2.18,71.91,95.69
STU_02011,23,Male,University,9.88,4.36,3.88,1.16,53.08,90.54
STU_02012,13,Female,High School,6.71,5.84,5.04,0.29,61.79,90.74
STU_02013,22,Female,University,6.47,1.24,2.64,3,64.38,86.17
STU_02014,24,Female,University,3.14,4.09,8.13,1.87,84.25,99.63
STU_02015,18,Male,College,4.19,3.74,7.21,1.12,55.92,83.91
STU_02016,14,Female,High School,5.81,4.17,3.67,3.4,72.81,92.28
